indicator,criterion,label,type,ahp_weight,entropy_weight,combined_weight
cumulative_delay,运行效率,累计总延误,cost,0.1481481481481481,0.0657080758078275,0.139904140914116
avg_delay,运行效率,平均延误,cost,0.1111111111111111,0.0657080755735133,0.1065708075573513
recovery_time,运行效率,恢复时间,cost,0.1296296296296296,0.1166432380466531,0.1283309904713319
min_performance,网络韧性,最低性能,benefit,0.1296296296296296,0.084191438085435,0.1250858104752101
loss_area,网络韧性,恢复损失面积,cost,0.1111111111111111,0.0657080755329941,0.1065708075532994
spread_range,网络韧性,传播范围,cost,0.0925925925925926,0.0664636339499152,0.0899796967283248
delay_flight_ratio,航班影响,延误航班比例,cost,0.0925925925925926,0.0657080687753752,0.0899041402108708
cancel_proxy,航班影响,取消代理数量,cost,0.0555555555555555,0.0559544614669796,0.0555954461466979
strategy_cost,经济性,相对策略成本,cost,0.074074074074074,0.1916908469924947,0.0858357513659161
complexity,可实施性,策略复杂度,cost,0.0555555555555555,0.2222240857688121,0.0722224085768812
