model,threshold,split,valid_accuracy,valid_precision,valid_recall,valid_f1,valid_roc_auc,valid_pr_auc,valid_brier,valid_log_loss,valid_tn,valid_fp,valid_fn,valid_tp,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier,test_log_loss,test_tn,test_fp,test_fn,test_tp
random_forest,0.4,valid,0.6337801379869265,0.26994012616272856,0.5895849144725319,0.3703269100309859,0.6613373040417426,0.30755375638980353,0.18018913378120976,0.5443558115061731,49335,27313,7030,10099,0.6483490434491606,0.35416445623342174,0.5900306386990337,0.44263708091144166,0.6777393855392915,0.3839908936134491,0.18682812846048544,0.5582577071310303,109449,54783,20874,30042
lightgbm,0.38000000000000006,valid,0.6098403659745993,0.25702369952301274,0.6008523556541537,0.3600363814454628,0.6490608603651379,0.2928053978340125,0.18360963356438803,0.5504402249003367,46897,29751,6837,10292,0.6287904140405675,0.3416096733599606,0.6131275041244403,0.43876009304221336,0.6698603115953483,0.37136804515217225,0.18909656035780753,0.5620410274842254,104065,60167,19698,31218
logistic,0.37000000000000005,valid,0.5970227241221195,0.2537601601792482,0.62151906124117,0.36038048813513424,0.646293014712081,0.28598286379800997,0.17789747593755406,0.5389895332509159,45341,31307,6483,10646,0.7302647479874319,0.39919549021274187,0.27676958127111323,0.32689608777851237,0.6551218698505487,0.3544801963540674,0.17197869057605109,0.5228642040055217,143023,21209,36824,14092
