strategy,优秀,良好,一般,较差,dominant_grade
dynamic_combo,0.0,0.8092688905457398,0.19073110945426006,0.0,良好
uniform_buffer,0.0,0.7712692352151536,0.22873076478484633,0.0,良好
hub_priority,0.0,0.5548453331867329,0.4451546668132671,0.0,良好
baseline,0.0,0.08570160066233286,0.8448997713339522,0.06939862800371478,一般
