criterion,recommended_strategy,value
乐观准则,baseline,873.4860939123223
悲观准则,baseline,2273.366676576723
Laplace 等概率准则,baseline,1496.5734991038612
最小最大后悔值准则,baseline,0.0
Hurwicz 折中准则,baseline,1433.4383269780826
