strategy,topsis_score,cumulative_delay,recovery_time,min_performance,spread_range,strategy_cost,complexity,overall_rank
dynamic_combo,0.6742245337309776,976.7640601339579,7.5,0.7842257017240164,1.75,730.752,4.0,1
uniform_buffer,0.6651046164516369,996.0323802096416,7.5,0.7829848081761661,1.75,1607.04,2.0,2
hub_priority,0.6131628799648159,1703.8740082025995,13.0,0.7633790113534025,1.5,596.1599999999999,3.0,3
baseline,0.5021022499836181,2848.7814260110317,21.5,0.7145782086358285,2.5,0.0,1.0,4
