fpr,tpr
0.0,0.0
0.00028888830527615093,0.001341944141575107
0.00042020117131076504,0.0019290447035142163
0.00042020117131076504,0.0020129162123626605
0.00044646374451768787,0.0020129162123626605
0.0007878771962076844,0.0028516313008471023
0.0007878771962076844,0.0029355028096955463
0.0008141397694146073,0.0029355028096955463
0.0008141397694146073,0.0031032458273924346
0.00252120702786459,0.00922586597332886
0.004595950311211493,0.016354944225446616
0.004622212884418415,0.016354944225446616
0.006276754996454552,0.023148536442170596
0.010846442734459122,0.03673572087561855
0.010872705307666045,0.03673572087561855
0.015284817606429078,0.04889708965864296
0.01538986789925677,0.04940031871173362
0.01538986789925677,0.04948419022058207
0.015416130472463692,0.04948419022058207
0.015468655618877537,0.05007129078252118
0.015783806497360612,0.05057451983561184
0.015810069070567534,0.05057451983561184
0.015810069070567534,0.050658391344460284
0.023032276702471308,0.07380692778663088
0.028127215904614335,0.0901618720120775
0.03658376447724348,0.11381363750733876
0.036610027050450404,0.1140652520338841
0.053155448170811775,0.14979451480332132
0.053155448170811775,0.1499622578210182
0.061900885048717075,0.16782688920573682
0.0653938072852378,0.177304369705611
0.06555138272447934,0.17738824121445945
0.0656039078708932,0.17738824121445945
0.07403419387031542,0.19525287259917806
0.0823069044304961,0.20967877212111047
0.0823069044304961,0.2097626436299589
0.09858969981878825,0.24289188962509436
0.1261654016860572,0.29396963851379687
0.12619166425926412,0.29396963851379687
0.14079365496231322,0.31770527551790656
0.14268456023321166,0.3198859347479661
0.14271082280641859,0.3198859347479661
0.15213908658770386,0.3364924934999581
0.18675315807442813,0.3897509016187201
0.22278540851432624,0.4459448125471777
0.22709247052026157,0.4532416338169924
0.2599732121753289,0.4994548351924851
0.261312603408882,0.501132265369454
0.28565800877169945,0.5339260253291956
0.3388397195157182,0.5964102994212865
0.35068414003204035,0.6088232827308563
0.35068414003204035,0.6089071542397048
0.3515508049478688,0.6097458693281892
0.35160333009428263,0.6097458693281892
0.3715366231583371,0.6297072884341189
0.3774457021298947,0.6361653946154492
0.4189143052236258,0.6765914618803992
0.45602332116500777,0.7130755682294725
0.4871182078420044,0.7398305795521262
0.4972818236730835,0.7477145013838798
0.5439766788349922,0.7824373060471358
0.5734432859731596,0.8040761553300344
0.5734432859731596,0.8041600268388829
0.5737846994248497,0.8044116413654282
0.5738634871444704,0.8044116413654282
0.6187724873283085,0.8351924851128072
0.6487118207842004,0.8520506583913444
0.7864852798277175,0.9258575861779753
0.8211518764608556,0.9419609158768766
0.8211781390340626,0.9419609158768766
0.8671639047193844,0.9605803908412313
0.8671901672925914,0.9605803908412313
0.8916668855214434,0.9693030277614695
0.8955012212096541,0.9703933573764992
0.895553746356068,0.9703933573764992
0.9122304803424639,0.9765159775224356
0.92139611839168,0.9797869663675249
0.9450061717047036,0.9872515306550365
0.9684061244320719,0.9936257653275182
0.9684323870052788,0.9936257653275182
0.9707960185939019,0.9940451228717605
0.9710323817527642,0.9941289943806089
0.9999474748535861,1.0
1.0,1.0
